ticker,caller,timestamp,Open,high,close,low,supply,market_cap,volume
ETH-USD,backtest_v2,2026-01-20 15:00:00+00:00,3043.79,3046.2,3029.7,2992.48,122373866.2178,370756102480.06866,14114.4633384
ETH-USD,backtest_v2,2026-01-20 16:00:00+00:00,3029.26,3039.4,3006.05,2993.33,122373866.2178,367861960544.01776,10043.04055602
ETH-USD,backtest_v2,2026-01-20 17:00:00+00:00,3006.04,3020.37,2996.39,2980.77,122373866.2178,366679828996.35376,11515.9831037
ETH-USD,backtest_v2,2026-01-20 18:00:00+00:00,2996.11,3005.24,2987.83,2983.95,122373866.2178,365632308701.52936,7946.30940269
ETH-USD,backtest_v2,2026-01-20 19:00:00+00:00,2987.82,2999.92,2991.99,2976.11,122373866.2178,366141383984.9954,8916.73204615
ETH-USD,backtest_v2,2026-01-20 20:00:00+00:00,2991.99,3002.64,3002.64,2981.5,122373866.2178,367444665660.21497,6224.34267532
ETH-USD,backtest_v2,2026-01-20 21:00:00+00:00,3002.23,3002.85,2989.22,2985.45,122373866.2178,365802408375.5721,2938.18960227
ETH-USD,backtest_v2,2026-01-20 22:00:00+00:00,2989.22,2994.89,2947.65,2912.52,122373866.2178,360715326756.8982,5453.25304986
ETH-USD,backtest_v2,2026-01-20 23:00:00+00:00,2947.65,2949.0,2936.5,2926.4,122373866.2178,359350858148.5697,4829.24081021
ETH-USD,backtest_v2,2026-01-21 00:00:00+00:00,2936.5,2965.6,2956.27,2918.22,122373866.2178,361770189483.6956,5170.01376617
ETH-USD,backtest_v2,2026-01-21 01:00:00+00:00,2956.21,2970.64,2961.6,2951.38,122373866.2178,362422442190.6365,4080.74245849
ETH-USD,backtest_v2,2026-01-21 02:00:00+00:00,2961.6,2971.8,2958.3,2954.32,122373866.2178,362018608432.1178,3001.74268172
ETH-USD,backtest_v2,2026-01-21 03:00:00+00:00,2958.2,2981.04,2977.85,2957.4,122373866.2178,364411017516.6757,3183.82559314
ETH-USD,backtest_v2,2026-01-21 04:00:00+00:00,2977.85,2981.98,2975.78,2970.77,122373866.2178,364157703613.6049,2093.09905218
ETH-USD,backtest_v2,2026-01-21 05:00:00+00:00,2975.77,2998.95,2989.95,2974.21,122373866.2178,365891741297.91113,2404.46276817
ETH-USD,backtest_v2,2026-01-21 06:00:00+00:00,2989.94,2990.72,2977.1,2972.2,122373866.2178,364319237117.0124,2964.21245965
ETH-USD,backtest_v2,2026-01-21 07:00:00+00:00,2976.89,2982.4,2967.45,2963.03,122373866.2178,363138329308.0106,2733.78049764
ETH-USD,backtest_v2,2026-01-21 08:00:00+00:00,2967.3,2971.15,2962.2,2953.38,122373866.2178,362495866510.3671,2578.5013029
ETH-USD,backtest_v2,2026-01-21 09:00:00+00:00,2962.09,2971.78,2950.65,2946.55,122373866.2178,361082448355.5516,1711.35233196
ETH-USD,backtest_v2,2026-01-21 10:00:00+00:00,2950.98,2966.25,2959.86,2948.4,122373866.2178,362209511663.41754,2366.49960411
ETH-USD,backtest_v2,2026-01-21 11:00:00+00:00,2959.9,2971.13,2940.49,2935.92,122373866.2178,359839129874.7787,2797.39109575
ETH-USD,backtest_v2,2026-01-21 12:00:00+00:00,2940.46,2943.61,2928.59,2900.01,122373866.2178,358382880866.7869,7135.69179339
ETH-USD,backtest_v2,2026-01-21 13:00:00+00:00,2928.48,2942.63,2925.4,2917.21,122373866.2178,357992508233.5521,4290.22018072
ETH-USD,backtest_v2,2026-01-21 14:00:00+00:00,2925.39,2991.76,2977.7,2921.63,122373866.2178,364392661436.74304,11266.34981091
ETH-USD,backtest_v2,2026-01-21 15:00:00+00:00,2977.66,3024.0,3000.2,2971.81,122373866.2178,367146073426.64355,10614.85011888
ETH-USD,backtest_v2,2026-01-21 16:00:00+00:00,3000.19,3003.04,2888.5,2882.69,122373866.2178,353476912570.1153,18105.1506268
ETH-USD,backtest_v2,2026-01-21 17:00:00+00:00,2888.63,2911.17,2900.5,2863.4,122373866.2178,354945398964.72894,16003.76952343
ETH-USD,backtest_v2,2026-01-21 18:00:00+00:00,2900.89,2931.53,2924.88,2884.69,122373866.2178,357928873823.1189,11875.64588596
ETH-USD,backtest_v2,2026-01-21 19:00:00+00:00,2924.96,3066.65,3053.05,2913.23,122373866.2178,373613532256.25433,15834.02617118
ETH-USD,backtest_v2,2026-01-21 20:00:00+00:00,3053.17,3055.51,3028.41,3000.21,122373866.2178,370598240192.6477,20873.52503102
ETH-USD,backtest_v2,2026-01-21 21:00:00+00:00,3028.74,3041.48,3029.01,3018.0,122373866.2178,370671664512.3784,4146.07600501
ETH-USD,backtest_v2,2026-01-21 22:00:00+00:00,3029.01,3042.7,3008.0,3007.19,122373866.2178,368100589583.1424,2485.26415011
ETH-USD,backtest_v2,2026-01-21 23:00:00+00:00,3007.95,3023.17,2979.6,2969.35,122373866.2178,364625171782.5569,10449.03926551
ETH-USD,backtest_v2,2026-01-22 00:00:00+00:00,2979.59,3008.81,3002.81,2978.11,122373866.2178,367465469217.47205,3720.04169783
ETH-USD,backtest_v2,2026-01-22 01:00:00+00:00,3003.0,3030.99,3025.89,3000.02,122373866.2178,370289858049.7789,3130.70121713
ETH-USD,backtest_v2,2026-01-22 02:00:00+00:00,3025.89,3035.84,3014.81,3012.12,122373866.2178,368933955612.08563,3353.82725132
ETH-USD,backtest_v2,2026-01-22 03:00:00+00:00,3014.82,3028.14,3010.7,2996.51,122373866.2178,368430999021.9305,2378.51083332
ETH-USD,backtest_v2,2026-01-22 04:00:00+00:00,3010.54,3021.9,3019.77,3008.34,122373866.2178,369540929988.52594,1972.47426043
ETH-USD,backtest_v2,2026-01-22 05:00:00+00:00,3019.77,3024.83,3017.02,3011.55,122373866.2178,369204401856.427,964.1518631
ETH-USD,backtest_v2,2026-01-22 06:00:00+00:00,3016.93,3024.58,3016.18,3006.13,122373866.2178,369101607808.804,2401.32246729
ETH-USD,backtest_v2,2026-01-22 07:00:00+00:00,3016.2,3019.68,2997.9,2997.19,122373866.2178,366864613534.34265,2793.78032153
ETH-USD,backtest_v2,2026-01-22 08:00:00+00:00,2997.89,3005.49,3002.6,2989.0,122373866.2178,367439770705.5663,4380.14773364
ETH-USD,backtest_v2,2026-01-22 09:00:00+00:00,3002.58,3013.59,3010.68,2999.9,122373866.2178,368428551544.6061,3494.86916386
ETH-USD,backtest_v2,2026-01-22 10:00:00+00:00,3010.68,3011.84,2999.83,2997.0,122373866.2178,367100795096.143,3678.3965072
ETH-USD,backtest_v2,2026-01-22 11:00:00+00:00,2999.82,3003.9,2983.31,2975.02,122373866.2178,365079178826.2249,7904.4865068
